Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'1999','Rhode Island','Melanomas of the Skin','18.6','16.2','21.3','208','1040402'
'1999','South Carolina','Melanomas of the Skin','17.5','16.2','18.9','687','3974682'
'1999','Michigan','Melanomas of the Skin','18.7','17.8','19.6','1823','9897116'
'1999','Maryland','Melanomas of the Skin','17.8','16.7','19','912','5254509'
'1999','Maine','Melanomas of the Skin','18.5','16.3','20.9','255','1266808'
'1999','Kentucky','Melanomas of the Skin','19.9','18.6','21.4','804','4018053'
'1999','Idaho','Melanomas of the Skin','19.9','17.4','22.6','236','1275674'
'1999','Wyoming','Melanomas of the Skin','20','16.2','24.4','96','491780'
'1999','Florida','Melanomas of the Skin','17.5','16.9','18.1','3237','15759421'
'1999','California','Melanomas of the Skin','18.4','17.9','18.9','5572','33499204'
'1999','Arizona','Melanomas of the Skin','18.6','17.4','19.8','918','5023823'
'1999','Vermont','Melanomas of the Skin','28.9','24.8','33.5','180','604683'
'1999','Washington','Melanomas of the Skin','21.9','20.7','23.1','1242','5842564'
'1999','Utah','Melanomas of the Skin','22.1','19.9','24.5','381','2203482'
'1999','South Dakota','Melanomas of the Skin','null','null','null','Data Suppressed','null'
'1999','Oregon','Melanomas of the Skin','22','20.4','23.6','759','3393941'
'1999','New Hampshire','Melanomas of the Skin','21.1','18.6','23.8','261','1222014'
'1999','Mississippi','Melanomas of the Skin','null','null','null','Data Suppressed','null'
'1999','Connecticut','Melanomas of the Skin','21.4','19.9','23','761','3386401'
'1999','Colorado','Melanomas of the Skin','20.7','19.3','22.2','799','4226018'
'1999','Arkansas','Melanomas of the Skin','null','null','null','Data Suppressed','null'
'1999','District of Columbia','Melanomas of the Skin','7.8','5.7','10.5','46','570213'
'1999','Nevada','Melanomas of the Skin','8.3','7.1','9.8','158','1934718'
'1999','Oklahoma','Melanomas of the Skin','10.2','9.2','11.4','356','3437147'
'1999','North Dakota','Melanomas of the Skin','9.6','7.4','12.3','64','644259'
'1999','New York','Melanomas of the Skin','10.2','9.7','10.6','1939','18882725'
'1999','Missouri','Melanomas of the Skin','10.4','9.6','11.3','596','5561948'
'1999','Louisiana','Melanomas of the Skin','9.9','8.9','10.9','412','4460811'
'1999','Tennessee','Melanomas of the Skin','10.7','9.9','11.6','611','5638706'
'1999','Texas','Melanomas of the Skin','11.3','10.8','11.8','2022','20558220'
'1999','Montana','Melanomas of the Skin','12.2','10.1','14.7','112','897507'
'1999','Illinois','Melanomas of the Skin','11.8','11.2','12.5','1415','12359020'
'1999','Wisconsin','Melanomas of the Skin','12.3','11.4','13.3','664','5332666'
'1999','Alaska','Melanomas of the Skin','11.2','7.9','15.2','51','624779'
'1999','Virginia','Melanomas of the Skin','14.5','13.7','15.5','993','7000174'
'1999','Pennsylvania','Melanomas of the Skin','13.6','13','14.2','1833','12263805'
'1999','North Carolina','Melanomas of the Skin','14.6','13.8','15.5','1154','7949361'
'1999','Ohio','Melanomas of the Skin','13.6','12.9','14.3','1571','11335454'
'1999','Indiana','Melanomas of the Skin','13.2','12.3','14.1','785','6044969'
'1999','Georgia','Melanomas of the Skin','13.7','12.9','14.6','994','8045965'
'1999','Delaware','Melanomas of the Skin','13.3','10.8','16.1','104','774990'
'1999','Alabama','Melanomas of the Skin','13.5','12.4','14.6','604','4430141'
'1999','West Virginia','Melanomas of the Skin','15.2','13.5','17','304','1811799'
'1999','New Mexico','Melanomas of the Skin','14.8','13.1','16.8','255','1808082'
'1999','New Jersey','Melanomas of the Skin','15.1','14.3','16','1307','8359592'
'1999','Nebraska','Melanomas of the Skin','14.8','13.1','16.8','253','1704764'
'1999','Minnesota','Melanomas of the Skin','17.1','15.9','18.3','815','4873481'
'1999','Massachusetts','Melanomas of the Skin','16.7','15.7','17.7','1090','6317345'
'1999','Iowa','Melanomas of the Skin','17.2','15.8','18.7','532','2917634'
'1999','Kansas','Melanomas of the Skin','17.1','15.6','18.8','458','2678338'
'1999','Hawaii','Melanomas of the Skin','14.7','12.6','17','180','1210300'
'2000','Hawaii','Melanomas of the Skin','17.1','14.9','19.5','214','1213519'
'2000','Georgia','Melanomas of the Skin','17.1','16.2','18.1','1264','8227303'
'2000','Delaware','Melanomas of the Skin','16','13.3','19','128','786373'
'2000','Massachusetts','Melanomas of the Skin','17.3','16.3','18.4','1146','6361104'
'2000','Maine','Melanomas of the Skin','17.4','15.3','19.7','244','1277072'
'2000','Kansas','Melanomas of the Skin','16.4','14.9','18','440','2693681'
'2000','Indiana','Melanomas of the Skin','15','14.1','16','906','6091866'
'2000','West Virginia','Melanomas of the Skin','15.8','14.1','17.7','319','1807021'
'2000','Virginia','Melanomas of the Skin','15','14.1','15.9','1037','7105817'
'2000','South Carolina','Melanomas of the Skin','15.9','14.7','17.2','635','4024223'
'2000','Pennsylvania','Melanomas of the Skin','14.9','14.2','15.5','2014','12284173'
'2000','North Carolina','Melanomas of the Skin','16','15.1','16.9','1288','8081614'
'2000','New Jersey','Melanomas of the Skin','15.7','14.8','16.5','1370','8430621'
'2000','Nevada','Melanomas of the Skin','17.1','15.3','19.1','334','2018741'
'2000','Florida','Melanomas of the Skin','19.9','19.3','20.6','3792','16047515'
'2000','California','Melanomas of the Skin','18.1','17.7','18.6','5602','33987977'
'2000','Arizona','Melanomas of the Skin','17.6','16.5','18.8','897','5160586'
'2000','Michigan','Melanomas of the Skin','18.1','17.3','19','1789','9952450'
'2000','Maryland','Melanomas of the Skin','17.4','16.2','18.5','908','5311034'
